Categoría,Elemento,Tipo,ID,Nivel,[I] Acabado,[I] Altura de antepecho,[I] Altura de extremo inicial,[I] Altura desconectada,[I] BO_Glass Type,[I] BO_Inset,[I] BO_U Glass,[I] BO_U Window,[I] BO_U_B Profile,[I] BO_U_B Rand,[I] BO_U_ST Profile,[I] BO_U_ST Rand,[I] Bärande vägg,[I] Categoría,[I] Comentarios,[I] Delimitación de habitación,[I] Desfase de altura desde nivel,[I] Desfase de base,[I] Desfase superior,[I] Distancia de extensión de base,[I] Distancia de extensión superior,[I] Dörrblad,[I] Elevación en parte inferior,[I] Elevación en parte inferior de núcleo,[I] Elevación en parte superior,[I] Elevación en parte superior de núcleo,[I] Estructura,[I] Exportar a IFC,[I] Exportar a IFC como,[I] Familia,[I] Familia y tipo,[I] Fase de creación,[I] Fase de derribo,[I] Grosor,[I] ID de anfitrión,[I] ID de tipo,[I] IfcGUID,[I] Imagen,[I] La base está enlazada,[I] La parte superior está enlazada,[I] Longitud,[I] Línea de ubicación,[I] Marca,[I] Material de marco,[I] Nivel,[I] Nombre de familia,[I] Nombre de tipo,[I] Opción de diseño,[I] Pendiente,[I] Perímetro,[I] Relacionado con masa,[I] Restricción de base,[I] Restricción superior,[I] Sección transversal,[I] Skall mängdas?,[I] Tiene asociación,[I] Tipo,[I] Tipo de marco,[I] Tipo predefinido de IFC,[I] Uso estructural,[I] Volumen,[I] Área,[T] Absortancia,[T] Altura,[T] Altura bruta,[T] Anchura,[T] Anchura bruta,[T] Aspereza,[T] BIMobject category,[T] BO_Aluminium Basalt grey RAL 7012,[T] BO_Aluminium Brown  SW802D- 80,[T] BO_Aluminium Brown RAL 8017,[T] BO_Aluminium Brown red RAL 3011,[T] BO_Aluminium Green RAL 6009,[T] BO_Aluminium Olive green RAL 6003,[T] BO_Aluminium Ruby red RAL 3003,[T] BO_Aluminium Signal grey RAL 7004,[T] BO_Aluminium White ENCS-S 0502 Y- 80,[T] BO_Aluminium White NCS-S 0502 Y,[T] BO_Aluminium White RAL 9010-30,[T] BO_Aluminium black RAL 9005-30,[T] BO_Dimension Overconstraint,[T] BO_Gap,[T] BO_Glass,[T] BO_Glass Area,[T] BO_Glass Height,[T] BO_Glass Width,[T] BO_Glass distancer,[T] BO_Moulding,[T] BO_Option 01,[T] BO_Option 02,[T] BO_Option 03,[T] BO_Option 04,[T] BO_R 01,[T] BO_R 02,[T] BO_S 01,[T] BO_S 02,[T] BO_Seal,[T] BO_Timber Blackbrown-stained,[T] BO_Timber Nutbrown-stained,[T] BO_Timber Oak- stained,[T] BO_Timber Teak-stained,[T] BO_Timber White NCS S0502-Y,[T] BO_Window Frame,[T] COBIe Type Category,[T] Categoría,[T] Cierre de muro,[T] Clasificación para incendios,[T] Coeficiente de incremento de calor solar,[T] Coeficiente de transferencia de calor (U),[T] Color de relleno de detalle bajo,[T] Comentarios de tipo,[T] Construcción analítica,[T] Costo,[T] Código de montaje,[T] Date of publishing,[T] Default Sill Height,[T] Definir propiedades térmicas por,[T] Descripción,[T] Descripción de montaje,[T] Design country,[T] Drevmån,[T] Dörrblad_bredd,[T] EAN code,[T] Edition number,[T] Envolvente en extremos,[T] Envolvente en inserciones,[T] Estructura,[T] Exportar tipo a IFC,[T] Exportar tipo a IFC como,[T] Fabricante,[T] Función,[T] Grosor,[T] Grosor predeterminado,[T] Handtag_material,[T] IFC Classification,[T] Imagen de tipo,[T] Installation instructions,[T] Introducir el tipo predefinido de IFC,[T] Karmbredd,[T] Karmdjup,[T] Littera,[T] Ljudreduktion [dB],[T] Manufacturer country,[T] Manufacturer name,[T] Marca de tipo,[T] Masa térmica,[T] Material estructural,[T] Material main,[T] Material secondary,[T] Modelo,[T] NBS Reference Code,[T] NBS Reference Description,[T] Nombre de código,[T] Nombre de familia,[T] Nombre de tipo,[T] Nominal height,[T] Nominal width,[T] Nota clave,[T] Número OmniClass,[T] Opción de diseño,[T] Operación,[T] Patrón de relleno de detalle bajo,[T] Product Guid,[T] Product SKU,[T] Product certification,[T] Product data url,[T] Product family,[T] Product group,[T] QR code,[T] Region Africa,[T] Region Antarctica,[T] Region Asia,[T] Region Europe,[T] Region Middle East,[T] Region North America,[T] Region Oceania,[T] Region South America,[T] Resistencia térmica (R),[T] Smygdjup,[T] Technical description,[T] Tipo IfcGUID,[T] Tipo de construcción,[T] Transmitancia de luz visual,[T] Tröskel,[T] Tröskel_höjd,[T] Typ av handtag,[T] Título OmniClass,[T] UNSPSC Code,[T] URL,[T] Uniclass 1.4 Code,[T] Uniclass 1.4 Description,[T] Uniclass 2.0 Code,[T] Uniclass 2.0 Description,[T] Weight Net (Kg),[T] Youtube clip
Muros,Yttervägg Paroc,Yttervägg Paroc,1298028,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Yttervägg Paroc,Yttervägg Paroc,Nytt,,,,Yttervägg Paroc,2DedXznHnDaeAWsrTB_qBp,,No,Sí,22.06,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Yttervägg Paroc,,,No portante,270.28,157.55,0.03,,,0.54,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Exterior,,,,,,,,,,YV7,,,,,0.0,Betong,,,,,,,Muro básico,Yttervägg Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2kzE,,,,,,,,,,,,,,
Muros,Yttervägg Paroc,Yttervägg Paroc,1298029,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Yttervägg Paroc,Yttervägg Paroc,Nytt,,,,Yttervägg Paroc,2DedXznHnDaeAWsrTB_qBo,,No,Sí,8.96,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Yttervägg Paroc,,,No portante,129.346,73.009,0.03,,,0.54,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Exterior,,,,,,,,,,YV7,,,,,0.0,Betong,,,,,,,Muro básico,Yttervägg Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2kzE,,,,,,,,,,,,,,
Muros,Yttervägg Paroc,Yttervägg Paroc,1298030,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Yttervägg Paroc,Yttervägg Paroc,Nytt,,,,Yttervägg Paroc,2DedXznHnDaeAWsrTB_qBn,,No,Sí,22.06,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Yttervägg Paroc,,,No portante,181.414,107.227,0.03,,,0.54,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Exterior,,,,,,,,,,YV7,,,,,0.0,Betong,,,,,,,Muro básico,Yttervägg Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2kzE,,,,,,,,,,,,,,
Muros,Yttervägg Paroc,Yttervägg Paroc,1298031,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Yttervägg Paroc,Yttervägg Paroc,Nytt,,,,Yttervägg Paroc,2DedXznHnDaeAWsrTB_qBm,,No,Sí,8.96,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Yttervägg Paroc,,,No portante,120.205,67.849,0.03,,,0.54,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Exterior,,,,,,,,,,YV7,,,,,0.0,Betong,,,,,,,Muro básico,Yttervägg Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2kzE,,,,,,,,,,,,,,
Muros,Innervägg 170mm Paroc,Innervägg 170mm Paroc,1298034,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Innervägg 170mm Paroc,Innervägg 170mm Paroc,Nytt,,,,Innervägg 170mm Paroc,2DedXznHnDaeAWsrTB_qBj,,No,No,8.96,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Innervägg 170mm Paroc,,,No portante,29.951,53.7,0.03,,,0.17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Interior,,,,,,,,,,IV1,,,,,0.0,Betong,,,,,,,Muro básico,Innervägg 170mm Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2k$Q,,,,,,,,,,,,,,
Muros,Innervägg 170mm Paroc,Innervägg 170mm Paroc,1298036,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Innervägg 170mm Paroc,Innervägg 170mm Paroc,Nytt,,,,Innervägg 170mm Paroc,2DedXznHnDaeAWsrTB_qBh,,No,No,8.84,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Innervägg 170mm Paroc,,,No portante,30.236,54.212,0.03,,,0.17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Interior,,,,,,,,,,IV1,,,,,0.0,Betong,,,,,,,Muro básico,Innervägg 170mm Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2k$Q,,,,,,,,,,,,,,
Muros,Innervägg 170mm Paroc,Innervägg 170mm Paroc,1298037,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Innervägg 170mm Paroc,Innervägg 170mm Paroc,Nytt,,,,Innervägg 170mm Paroc,2DedXznHnDaeAWsrTB_qBg,,No,No,2.435,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Innervägg 170mm Paroc,,,No portante,9.881,17.717,0.03,,,0.17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Interior,,,,,,,,,,IV1,,,,,0.0,Betong,,,,,,,Muro básico,Innervägg 170mm Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2k$Q,,,,,,,,,,,,,,
Muros,Innervägg 170mm Paroc,Innervägg 170mm Paroc,1298038,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Innervägg 170mm Paroc,Innervägg 170mm Paroc,Nytt,,,,Innervägg 170mm Paroc,2DedXznHnDaeAWsrTB_qBf,,No,No,3.33,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Innervägg 170mm Paroc,,,No portante,9.552,17.126,0.03,,,0.17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Interior,,,,,,,,,,IV1,,,,,0.0,Betong,,,,,,,Muro básico,Innervägg 170mm Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2k$Q,,,,,,,,,,,,,,
Muros,Innervägg 170mm Paroc,Innervägg 170mm Paroc,1298039,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Innervägg 170mm Paroc,Innervägg 170mm Paroc,Nytt,,,,Innervägg 170mm Paroc,2DedXznHnDaeAWsrTB_qBe,,No,No,3.955,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Innervägg 170mm Paroc,,,No portante,15.81,28.346,0.03,,,0.17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Interior,,,,,,,,,,IV1,,,,,0.0,Betong,,,,,,,Muro básico,Innervägg 170mm Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2k$Q,,,,,,,,,,,,,,
Muros,Innervägg 170mm Paroc,Innervägg 170mm Paroc,1298040,Floor 0,,,,2.4,,,,,,,,,,,,Sí,,0.0,0.0,0.0,0.0,,,,,,No,Por tipo,,Innervägg 170mm Paroc,Innervägg 170mm Paroc,Nytt,,,,Innervägg 170mm Paroc,2DedXznHnDaeAWsrTB_qBd,,No,No,2.47,Eje del muro,,,,,,,,,No,Floor 0,Floor 1,Vertical,,,Innervägg 170mm Paroc,,,No portante,6.587,11.811,0.03,,,0.17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,Ninguno,Sin envolvente,,Por defecto,,,Interior,,,,,,,,,,IV1,,,,,0.0,Betong,,,,,,,Muro básico,Innervägg 170mm Paroc,,,,,,,<Relleno uniforme>,,,,,,,,,,,,,,,,0.0,,,095ehmSozDWfEWYyuf2k$Q,,,,,,,,,,,,,,
